Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Fouls,Tackles,Inter,OwnG,Drb,Clear,Blocks,Offsides,Fouled,KeyP,Off,UnsTch,Disp,Crosses,AvgP,LongB,ThrB,Shots,xG/Shots,xG,xGDiff,xG/90
94,Leandro Trossard,Arsenal,30,"M(CLR),FW",18(16),1647,12,1,2,-,1.8,78.7,0.2,1,6.82,0.4,0.8,0.2,-,0.5,0.1,-,-,0.6,0.7,0.3,1.4,1.1,0.3,17.8,0.5,-,60.0,0.15,8.92,3.08,0.49
95,Oliver McBurnie,Sheff Utd,28,"AM(CL),FW",15(6),1287,6,3,3,2,1.6,60.3,5.4,2,6.82,0.9,0.8,0.2,-,0.3,1.3,0.1,-,1.3,0.6,0.2,1.2,0.9,0.1,19.0,-,-,33.0,0.22,7.19,-1.19,0.5
96,Jefferson Lerma,Crystal Palace,30,"D(CR),DMC",27(1),2404,1,1,8,-,1.2,82.4,2.5,1,6.82,1.5,1.5,1.3,-,0.8,2.3,0.4,-,0.9,0.9,0.1,0.9,0.5,0.1,43.8,1.4,0.1,34.0,0.07,2.43,-1.43,0.09
97,Levi Colwill,Chelsea,21,D(CL),20(3),1800,1,1,2,-,0.5,83.4,1.9,2,6.82,1.1,2.1,1.1,-,0.3,2.8,0.4,0.3,0.6,0.3,0.2,1,0.2,-,45.8,1.9,-,11.0,0.1,1.15,-0.15,0.06
98,Marc Cucurella,Chelsea,26,"D(CL),M(L)",20(1),1786,-,2,10,-,0.4,86.7,1.2,-,6.81,1.1,3,1,1,1.4,1.6,0.6,0.1,1.7,0.9,-,0.7,0.3,0.2,50.3,0.7,-,8.0,0.14,1.15,-1.15,0.06
99,Dominik Szoboszlai,Liverpool,24,AM(CLR),25(8),2110,3,2,1,-,1.8,87.3,0.4,1,6.81,0.9,1,0.5,-,1,0.4,0.1,-,0.9,1.7,0.1,0.8,0.8,0.8,42.4,1.6,0.1,60.0,0.06,3.57,-0.57,0.15
100,Craig Dawson,Wolves,34,D(CR),25,2211,1,1,7,-,0.6,86.7,2.5,2,6.81,0.8,1.2,0.6,-,0.5,4.8,1.6,0.4,0.6,0.4,0.2,0.2,0.1,-,50.9,4,0.1,16.0,0.1,1.59,-0.59,0.06
101,Fabian Schär,Newcastle,33,D(C),35(1),3057,4,1,5,-,1,83.2,1.9,1,6.81,1.1,1.2,1,-,0.6,3.6,1.1,0.4,0.7,0.3,-,0.5,0.3,0.1,58.5,5.1,0.1,35.0,0.1,3.33,0.67,0.1
102,Oleksandr Zinchenko,Arsenal,28,"D(L),M(CLR)",20(7),1727,1,2,2,-,0.6,89.4,1,3,6.81,0.3,1.9,0.7,-,0.6,0.8,0.1,0.1,0.3,1.1,-,0.4,0.6,0.2,52.3,2,0.2,17.0,0.04,0.67,0.33,0.04
103,Raheem Sterling,Chelsea,30,"M(CLR),FW",22(9),1983,8,4,7,-,1.6,79.3,0.1,2,6.8,1.1,0.7,0.4,-,0.5,0.3,-,-,1.3,1,0.3,1.7,1.4,0.3,21.2,0.2,0.1,51.0,0.18,9.42,-1.42,0.43
104,Tosin Adarabioyo,Fulham,27,D(CR),18(2),1617,2,-,2,-,0.7,84.7,2.9,-,6.8,0.5,1.1,1.3,-,0.5,4,0.6,0.8,0.3,0.1,-,0.2,0.2,-,60.6,3.6,-,14.0,0.06,0.91,1.09,0.05
105,Kobbie Mainoo,Man Utd,19,DMC,24,1942,3,1,3,-,0.5,86.7,0.8,-,6.8,0.6,2,0.9,-,1,1.1,0.5,-,1,0.6,-,1.2,1,-,35.9,0.9,0.2,11.0,0.08,0.92,2.08,0.04
106,Marcos Senesi,Bournemouth,27,D(C),26(5),2248,4,5,13,-,0.4,78.5,1.3,1,6.8,1.3,1.8,1.1,-,1,3.4,0.7,0.3,0.4,0.7,-,0.6,0.4,0.4,40.6,4,0.1,13.0,0.18,2.29,1.71,0.09
107,Christian Nørgaard,Brentford,30,"D(C),DMC",30(1),2513,2,1,8,-,1.1,81.2,1.3,1,6.8,1.3,2.6,1.7,-,1.8,1.6,0.2,-,1,0.8,-,0.7,0.5,0.2,46.5,1.9,0.2,35.0,0.11,3.69,-1.69,0.13
108,Boubacar Kamara,Aston Villa,25,"D(CL),DMC",20,1662,-,1,7,1,0.3,89.3,1,-,6.79,1.8,2.2,1.1,-,1.2,0.8,0.4,-,1.5,1,-,1,0.7,-,51.2,2.1,0.1,5.0,0.03,0.17,-0.17,0.01
109,Micky van de Ven,Tottenham,23,D(CL),27,2344,3,-,5,-,0.3,94.3,1.4,1,6.79,0.5,1.8,0.7,-,0.3,2.6,0.6,1.1,0.6,-,-,0.6,0.4,-,66.0,1.5,-,8.0,0.1,0.8,2.2,0.03
110,Hwang Hee-Chan,Wolves,28,"AM(CLR),FW",25(4),2133,12,3,6,-,1.6,77.7,0.2,2,6.79,1.1,0.7,0.3,-,0.5,0.3,-,-,1.1,0.6,0.5,1.9,1.1,0.1,18.3,0.3,0.1,45.0,0.19,8.44,3.56,0.36
111,Rodrigo Muniz,Fulham,23,FW,18(8),1598,9,1,1,-,2.8,62.1,2.9,2,6.79,0.9,0.3,0.2,-,0.2,0.8,0.1,0.1,1.3,0.7,0.2,2.1,1.3,-,8.4,0.3,-,73.0,0.13,9.46,-0.46,0.53
112,Callum Hudson-Odoi,Nottingham Forest,24,M(CLR),20(9),1856,8,1,-,-,1.3,85.3,0.1,3,6.79,0.5,0.6,0.2,-,0.7,0.4,-,-,1,1.2,0.3,1.2,1.1,0.4,22.3,1.1,-,38.0,0.08,3.22,4.78,0.16
113,Dominic Calvert-Lewin,Everton,27,"AM(L),FW",26(6),2189,7,2,2,-,2.3,56.9,4.4,2,6.79,1,0.4,0.1,-,0.4,1.2,0.1,-,1,0.6,0.8,2,0.8,-,13.6,0.1,-,73.0,0.19,13.73,-6.73,0.56
114,Manuel Akanji,Man City,29,"D(CLR),DMC",28(2),2514,2,-,2,1,0.5,93.8,0.9,-,6.78,0.6,1.4,0.8,-,0.6,2,0.4,0.5,0.6,0.4,-,0.5,0.3,0.1,76.5,2.7,0.1,15.0,0.12,1.8,0.2,0.06
115,Carlton Morris,Luton,29,"AM(CL),FW",32(6),2867,11,4,4,-,1.9,66.8,3.5,1,6.78,1.3,0.4,-,-,0.2,1.4,0.1,-,1.1,0.6,0.2,1.4,1.4,-,18.9,0.2,-,71.0,0.17,12.06,-1.06,0.38
116,Emerson,West Ham,30,"D(L),M(L)",35(1),3143,1,2,10,-,0.5,82.9,0.7,1,6.78,0.9,2.9,1.2,1,0.9,2.4,0.4,0.3,0.9,0.7,-,1,0.5,0.3,39.8,1.2,-,19.0,0.08,1.55,-0.55,0.04
117,Tyrick Mitchell,Crystal Palace,25,"D(L),M(L)",37,3209,2,3,6,-,0.3,74.2,0.6,-,6.78,0.6,2.8,0.7,-,0.5,2.3,0.3,0.3,0.4,0.6,-,1.2,0.8,0.5,32.6,0.9,-,12.0,0.16,1.96,0.04,0.05
118,Thiago Silva,Chelsea,40,D(C),28(3),2528,3,1,4,-,0.5,94.9,1.7,-,6.77,0.3,0.9,0.8,-,0.5,4.8,0.8,0.5,0.3,0.3,-,0.2,-,-,73.5,3.1,-,14.0,0.07,0.94,2.06,0.03
119,Alex Iwobi,Fulham,28,"D(R),M(CLR)",25(5),2205,5,2,2,-,1.7,81.8,0.2,2,6.77,0.4,1,0.5,-,0.4,0.2,-,-,0.2,1.6,0.2,1.7,0.9,0.3,32.7,1.2,0.1,51.0,0.1,5.28,-0.28,0.22
120,Chiedozie Ogbene,Luton,27,"M(CLR),FW",20(10),1994,4,1,1,-,1.2,81.6,1,1,6.76,0.3,0.6,0.2,-,0.3,1,0.1,-,1.7,0.9,0.3,2,0.7,0.4,21.0,0.3,-,35.0,0.13,4.62,-0.62,0.21
121,Brennan Johnson,Tottenham,23,"AM(CLR),FW",23(9),2093,5,10,3,-,1.6,76.2,0.2,-,6.76,0.5,0.8,0.3,-,0.6,0.3,-,-,0.9,1.4,0.4,1.1,0.6,0.5,20.1,0.2,-,50.0,0.23,11.41,-6.41,0.49
122,Alejandro Garnacho,Man Utd,20,AM(CLR),30(6),2578,7,4,4,-,2.8,79.4,0.2,2,6.76,0.6,0.6,0.5,-,0.9,0.3,0.1,-,1.5,1.3,0.4,1.9,1.4,0.2,23.2,0.5,-,100.0,0.1,9.52,-2.52,0.33
123,Rayan Aït-Nouri,Wolves,23,"D(L),M(L)",29(4),2347,2,1,7,-,0.7,86.6,0.6,1,6.76,0.8,2.2,0.5,-,0.6,0.9,0.2,0.1,1.6,0.8,0.2,1.5,1.7,0.2,31.5,0.7,-,24.0,0.15,3.55,-1.55,0.14
124,Edson Álvarez,West Ham,27,"D(C),DMC",28(3),2385,1,1,11,-,0.5,86.1,1,-,6.76,1.1,2.6,1.4,-,1.1,2.3,0.6,0.1,0.5,0.4,-,1.2,1,-,38.5,1.9,0.1,17.0,0.07,1.11,-0.11,0.04
125,Enzo Fernández,Chelsea,23,M(C),26(2),2215,3,2,7,-,1.7,86.9,0.8,1,6.75,1.2,1.8,0.6,-,1.4,0.9,0.5,-,1.1,1.1,0.1,1,0.9,0.3,64.1,4.6,0.3,47.0,0.13,6.33,-3.33,0.26
126,Aaron Wan-Bissaka,Man Utd,27,"D(LR),M(R)",20(2),1782,-,2,4,-,0.1,82.9,1,1,6.75,0.8,1.9,1.9,-,0.3,2.5,0.7,0.1,0.4,0.5,-,0.9,0.4,0.2,37.8,0.6,-,3.0,0.07,0.2,-0.2,0.01
127,Chris Wood,Nottingham Forest,33,FW,20(11),1810,14,1,-,-,1.5,64.5,2.4,3,6.75,0.7,0.2,-,-,0.2,0.8,0.1,-,0.4,0.7,0.2,1.6,0.7,-,13.9,0.2,-,48.0,0.25,12.06,1.94,0.6
128,Andreas Pereira,Fulham,28,M(CLR),34(3),2638,3,7,6,-,1.4,78.8,0.4,2,6.75,0.6,0.7,0.1,-,0.8,0.3,0.1,-,0.7,2.3,0.1,1.3,1.1,1.8,28.7,1.4,0.2,52.0,0.09,4.64,-1.64,0.16
129,Joelinton,Newcastle,28,"AM(CLR),FW",15(5),1281,2,1,6,-,1,83.9,0.9,1,6.75,1.4,2,1,-,1.2,0.5,0.4,-,1.2,1.2,-,1.1,1.4,-,30.8,0.6,0.2,19.0,0.17,3.16,-1.16,0.22
130,Guglielmo Vicario,Tottenham,28,GK,38,3420,-,-,2,-,-,83.7,0.6,-,6.75,-,-,-,-,-,1.2,-,-,0.2,-,-,-,-,-,36.1,2.2,-,,,,,
131,Malo Gusto,Chelsea,21,"D(R),M(R)",19(8),1756,-,6,7,1,0.6,89.2,0.3,1,6.74,0.8,2,0.6,-,0.6,1.4,0.1,0.2,1.1,1.2,0.2,1.2,0.4,0.6,45.1,1.1,-,15.0,0.1,1.44,-1.44,0.07
132,Callum Wilson,Newcastle,32,FW,9(11),984,9,1,3,-,1.8,65.2,0.5,-,6.74,0.8,0.3,0.1,-,0.2,0.2,-,-,0.9,0.4,0.2,2.4,1.8,-,7.9,0.1,-,35.0,0.27,9.34,-0.34,0.85
133,Nathan Aké,Man City,29,"D(CL),DMC",24(5),2044,2,2,-,-,0.7,92.8,1.6,-,6.73,0.3,0.9,0.5,-,0.2,1.8,0.1,0.7,0.6,0.3,-,0.3,0.1,-,61.0,0.7,-,20.0,0.13,2.57,-0.57,0.11
134,Lewis Dunk,Brighton,33,D(C),33,2873,3,1,7,1,1,92.5,1.7,1,6.73,0.7,0.8,0.9,-,0.7,2.7,1.1,0.4,0.4,0.4,-,0.3,0.1,-,97.3,4.5,0.1,33.0,0.09,3.0,-,0.09
135,Neto,Bournemouth,35,GK,32,2880,-,-,5,-,-,60.2,0.3,2,6.73,-,-,-,-,-,1.2,-,-,-,-,-,-,-,-,28.2,5.9,-,,,,,
136,Pervis Estupiñán,Brighton,26,"D(L),M(L)",15(4),1248,2,3,4,-,0.6,88.7,0.6,1,6.73,1.2,1.4,1.1,1,0.8,1.1,0.2,0.3,0.9,1.4,0.3,1.1,0.3,0.8,43.2,0.7,0.1,11.0,0.1,1.07,0.93,0.08
137,Jan Paul van Hecke,Brighton,24,D(C),26(2),2368,-,-,4,-,0.5,92.5,2.4,1,6.72,0.5,1.7,1.1,-,0.6,2.6,1,0.6,0.6,0.4,-,0.6,0.1,-,85.7,3.1,-,15.0,0.11,1.61,-1.61,0.06
138,Chris Richards,Crystal Palace,24,"D(C),DMC",23(3),2092,1,1,3,-,0.4,83.3,2.4,-,6.72,0.5,1.8,1,-,0.4,4.1,0.5,0.3,0.3,0.2,-,0.3,0.2,-,35.5,1.3,-,11.0,0.07,0.75,0.25,0.03
139,Pablo Sarabia,Wolves,32,"D(L),M(CLR),FW",20(10),1752,4,7,5,-,1.5,77.1,0.2,1,6.72,0.7,0.7,0.3,-,0.8,0.2,-,-,0.8,1.7,0.3,1.4,0.8,1.3,27.6,1.1,0.2,46.0,0.13,6.21,-2.21,0.32
140,Willian,Fulham,36,AM(CLR),24(7),2061,4,2,1,-,1.5,85.5,0.3,1,6.72,0.3,0.6,0.3,-,0.6,0.3,-,-,1,1.4,-,1.1,0.8,0.7,34.2,1.9,0.1,45.0,0.11,5.03,-1.03,0.22
141,Jack Grealish,Man City,29,"AM(CL),FW",10(10),1004,3,1,7,-,1.1,87.7,0.2,-,6.72,0.3,0.7,0.3,-,0.3,0.2,0.1,-,2.1,1.3,0.1,1,1.1,0.2,27.6,0.6,0.2,22.0,0.1,2.11,0.89,0.19
142,José Sá,Wolves,31,GK,35,3039,-,1,1,-,-,59.2,0.4,1,6.72,-,-,-,-,-,0.9,-,-,0.3,-,-,-,-,-,25.8,3.1,-,,,,,
143,Yves Bissouma,Tottenham,28,M(C),26(2),2088,-,-,9,2,0.9,91.9,0.5,-,6.72,1.3,2.9,1.3,-,0.7,1.5,0.2,-,1.1,0.4,-,1.2,1.1,-,65.5,1.5,-,24.0,0.05,1.28,-1.28,0.06
144,Maximilian Kilman,Wolves,27,D(C),38,3420,2,-,7,-,0.4,86.3,2.3,1,6.71,1,1.2,1,-,0.2,4.7,1,0.5,0.5,0.4,0.1,0.2,0.3,-,60.2,3.8,-,14.0,0.18,2.46,-0.46,0.06
145,Mathias Jensen,Brentford,28,M(C),27(5),2220,3,3,5,-,0.4,78.6,0.2,1,6.71,0.9,1.7,0.7,-,2.2,0.8,0.2,-,0.6,1.3,0.1,1,0.6,1.3,30.4,2.6,0.1,14.0,0.04,0.61,2.39,0.02
146,Scott McTominay,Man Utd,28,"D(C),M(C)",18(14),1893,7,1,2,-,1.4,81.5,1.2,2,6.71,0.9,1.5,0.4,-,0.3,1.7,0.4,-,0.7,0.3,0.2,0.9,0.7,-,20.1,0.6,-,44.0,0.15,6.62,0.38,0.31
147,Destiny Udogie,Tottenham,22,"D(L),M(L)",28,2398,2,3,5,1,0.3,87.5,0.8,-,6.71,1.8,2.4,1.3,-,0.8,2.4,0.3,0.4,1.3,0.9,0.1,1.8,0.9,-,43.4,0.3,-,9.0,0.29,2.61,-0.61,0.1
148,Amadou Onana,Everton,23,DMC,23(7),2094,2,-,5,-,1,84.9,1.8,1,6.71,1.2,2.4,0.7,-,0.7,1,0.2,-,1.5,0.6,-,0.7,0.3,-,34.1,2,0.1,29.0,0.08,2.44,-0.44,0.11
149,Jordan Pickford,Everton,30,GK,38,3420,-,-,5,-,-,59.4,-,1,6.71,-,-,-,1,-,0.9,-,-,0.2,0.1,-,-,-,-,37.6,10.5,-,,,,,
150,Emiliano Martínez,Aston Villa,32,GK,34,3016,-,-,4,-,-,81.4,0.1,-,6.71,-,-,-,2,-,0.5,-,-,0.2,0.1,-,-,-,-,37.4,4.8,-,,,,,
151,Harvey Elliott,Liverpool,21,AM(CR),11(23),1339,3,6,2,-,1.4,87.7,0.3,2,6.7,0.2,0.8,0.2,-,0.6,0.2,-,-,0.4,1.1,-,0.4,0.3,0.6,26.6,1.2,0.1,49.0,0.05,2.41,0.59,0.16
152,Rasmus Højlund,Man Utd,21,FW,25(5),2172,10,2,2,-,1.3,77.0,0.8,1,6.7,0.7,0.4,-,-,0.3,0.6,-,-,1,0.9,0.5,1.7,1,-,13.0,0.3,-,38.0,0.22,8.32,1.68,0.34
153,Murillo,Nottingham Forest,22,D(C),32,2793,-,2,5,-,0.5,77.6,1.2,-,6.69,1.2,1.6,1.2,1,0.4,5.8,0.8,0.2,0.2,0.2,-,0.6,0.5,-,45.1,3.7,-,17.0,0.09,1.59,-1.59,0.05
154,Marcus Rashford,Man Utd,27,"AM(CLR),FW",26(7),2279,7,2,2,-,1.9,79.2,0.5,-,6.69,0.4,0.6,0.1,-,0.5,0.6,-,-,0.6,0.8,0.4,1.8,1.2,0.1,20.7,0.8,0.1,62.0,0.13,7.97,-0.97,0.31
155,Lucas Digne,Aston Villa,31,"D(CL),M(L)",27(6),2413,1,3,7,-,0.6,81.4,1.3,-,6.68,0.9,1.4,0.8,-,0.6,1.8,0.1,0.5,0.9,1.1,0.1,0.5,0.5,1.1,30.7,0.6,-,20.0,0.06,1.25,-0.25,0.05
156,Bernd Leno,Fulham,32,GK,38,3420,-,-,3,-,-,77.2,0.3,3,6.68,-,-,-,1,-,0.8,-,-,0.1,-,-,-,-,-,37.0,4.6,-,,,,,
157,Vitaly Janelt,Brentford,26,"D(L),DMC",37(1),3072,1,3,8,-,0.6,79.9,0.9,1,6.68,0.7,1.7,0.9,-,0.8,1.5,0.2,0.1,0.7,1,0.1,0.7,0.3,0.5,34.4,1.6,0.1,21.0,0.1,2.14,-1.14,0.06
158,Luis Sinisterra,Bournemouth,25,"AM(LR),FW",7(13),692,2,2,-,-,1.4,80.1,0.8,1,6.68,0.6,1.2,0.4,-,0.4,0.2,-,-,0.3,1,0.2,1.2,0.5,0.1,14.1,0.7,-,27.0,0.1,2.7,-0.7,0.35
159,Sean Longstaff,Newcastle,27,DMC,30(5),2748,6,2,7,-,1.2,80.9,0.5,-,6.67,0.7,1.5,0.5,-,1.1,0.6,0.2,-,1,0.6,0.1,1,1,0.2,34.5,1.3,0.1,41.0,0.18,7.45,-1.45,0.24
160,João Gomes,Wolves,23,M(C),32(2),2660,2,1,11,-,0.8,83.3,0.5,1,6.67,1.9,3.8,0.5,-,1.6,0.9,0.2,-,1.1,0.6,-,1.2,1.3,0.4,36.4,0.9,0.1,26.0,0.09,2.23,-0.23,0.08
161,Mykhailo Mudryk,Chelsea,23,AM(L),18(13),1581,5,2,5,-,1.1,76.9,0.2,-,6.67,0.7,0.7,0.3,-,0.7,0.2,-,-,0.9,1,-,1.7,0.7,0.5,15.4,0.5,0.1,35.0,0.14,4.83,0.17,0.27
162,Raúl Jiménez,Fulham,33,FW,18(6),1404,7,-,3,1,1.7,69.7,1.8,1,6.67,0.7,0.8,0.2,-,0.5,0.5,0.1,-,0.9,0.5,0.5,1.8,1.3,0.1,15.5,0.5,0.1,41.0,0.13,5.37,1.63,0.34
163,Matty Cash,Aston Villa,27,"D(R),M(CLR)",23(6),2144,2,2,8,-,1.1,84.0,0.5,1,6.66,1,1.9,0.6,1,1,1.8,0.5,0.6,0.8,0.4,-,0.7,0.5,0.3,35.4,1.1,-,33.0,0.11,3.76,-1.76,0.16
164,Nathan Collins,Brentford,23,D(CR),29(3),2650,1,1,3,-,0.3,81.5,2.3,-,6.66,0.4,1.2,1.4,-,0.3,4,0.9,0.4,0.7,0.3,0.1,0.7,0.4,-,45.9,2.2,-,10.0,0.21,2.14,-1.14,0.07
165,Neco Williams,Nottingham Forest,23,"D(LR),M(LR)",18(8),1634,-,1,4,-,0.6,72.4,1.2,-,6.66,0.9,2.7,0.8,-,0.8,1.7,0.5,-,1.2,0.4,0.2,1.5,1,0.5,23.0,0.8,-,15.0,0.05,0.79,-0.79,0.04
166,Dara O'Shea,Burnley,25,D(CR),32(1),2895,3,4,5,1,0.6,79.7,3.8,-,6.66,1.1,1.2,1.1,1,0.5,4.8,0.9,0.8,0.5,0.4,-,0.3,-,0.1,52.5,3.3,-,19.0,0.04,0.85,2.15,0.03
167,Pape Sarr,Tottenham,22,M(C),27(7),2087,3,3,9,-,1.1,88.7,0.7,1,6.66,0.9,1,0.9,-,0.6,0.8,0.1,-,0.5,0.6,-,1.1,0.4,0.1,38.6,0.8,0.1,36.0,0.1,3.72,-0.72,0.16
168,Josh Cullen,Burnley,28,DMC,23(2),2060,2,3,9,-,0.6,86.7,0.8,1,6.65,1,1.7,0.6,-,0.8,1,0.8,-,2,1,-,0.7,0.4,0.4,53.6,1.4,0.1,16.0,0.04,0.66,1.34,0.03
169,Elliot Anderson,Newcastle,22,M(CL),10(11),1024,-,2,3,-,0.9,82.9,0.9,1,6.65,1,1.1,0.4,-,0.7,1,0.2,-,0.9,0.7,-,1.3,1,0.1,19.8,0.2,-,19.0,0.07,1.39,-1.39,0.12
170,James Trafford,Burnley,22,GK,28,2520,-,-,2,-,-,62.1,0.6,1,6.65,-,0.1,-,-,-,1.4,-,-,0.2,-,-,-,-,-,48.9,6.5,-,,,,,
171,Alisson Becker,Liverpool,32,GK,28,2520,-,-,1,-,-,85.1,0.3,-,6.65,-,-,-,-,-,0.8,-,-,0.2,-,-,0.1,-,-,35.6,3,-,,,,,
172,Moussa Diaby,Aston Villa,25,"M(CLR),FW",25(13),2188,6,8,1,-,1.4,82.6,0.1,2,6.65,0.4,0.3,0.2,-,0.5,0.1,-,-,0.4,1.2,0.2,0.9,0.8,0.3,15.0,0.2,0.1,54.0,0.12,6.47,-0.47,0.27
173,Mark Flekken,Brentford,31,GK,37,3286,-,1,3,-,-,69.4,0.3,2,6.65,0.1,-,-,-,0.1,1.1,-,-,0.1,0.1,-,-,-,-,39.1,8.7,-,,,,,
174,Teden Mengi,Luton,22,D(C),28(2),2470,1,-,3,-,0.4,78.2,2,-,6.65,1.2,1.8,1.9,-,0.4,4.5,0.9,0.4,0.2,0.2,-,0.7,0.2,-,30.9,2.3,-,11.0,0.08,0.88,0.12,0.03
175,Bart Verbruggen,Brighton,22,GK,21,1890,-,-,3,-,-,85.6,0.3,-,6.64,-,-,-,-,-,0.8,-,-,0.1,-,-,-,-,-,35.4,4.3,-,,,,,
176,Ezri Konsa,Aston Villa,27,D(CR),35,3074,1,-,5,-,0.5,92.2,0.9,-,6.64,0.4,1.5,0.8,-,0.1,1.9,0.6,1.1,1.8,0.2,-,0.7,0.5,0.1,55.8,1.3,-,19.0,0.12,2.25,-1.25,0.07
177,Mateo Kovacic,Man City,30,M(CL),16(14),1549,1,-,4,-,0.7,94.1,0.1,-,6.63,0.6,1.2,0.3,-,0.3,0.3,-,0.1,0.5,0.7,-,0.5,0.8,-,50.8,0.7,0.1,22.0,0.07,1.62,-0.62,0.09
178,Abdoulaye Doucouré,Everton,31,M(C),32,2643,7,2,7,-,1.5,78.5,0.8,-,6.63,1.7,1.3,0.5,-,0.9,0.6,0.1,-,0.3,1.1,0.7,1.9,1.3,0.1,27.1,0.5,-,47.0,0.2,9.3,-2.3,0.32
179,Ederson,Man City,31,GK,33,2789,-,-,5,-,-,85.9,0.3,-,6.63,0.1,-,-,-,-,0.5,-,-,0.1,-,-,-,-,-,33.2,5.6,-,,,,,
180,Timothy Castagne,Fulham,29,"D(CLR),M(LR)",29(5),2634,1,3,3,-,0.4,81.3,1,-,6.63,0.6,1.4,1.1,-,0.5,1.7,0.3,0.2,0.3,0.5,0.1,0.7,0.3,0.3,39.7,1.5,-,14.0,0.08,1.17,-0.17,0.04
181,Youri Tielemans,Aston Villa,27,M(C),17(15),1622,2,6,3,-,0.4,86.0,0.4,1,6.63,0.7,1.3,0.5,-,0.8,0.3,0.1,-,0.9,0.6,-,0.5,0.7,0.1,28.3,1.1,0.2,14.0,0.08,1.08,0.92,0.06
182,Vinicius Souza,Sheff Utd,25,DMC,29(7),2673,1,-,3,-,0.4,80.3,1.9,1,6.62,1.3,3.5,0.9,-,0.9,2.1,0.5,0.1,0.4,0.1,0.1,0.9,0.7,0.1,27.2,1.1,-,14.0,0.05,0.68,0.32,0.02
183,Wilson Odobert,Burnley,20,"AM(CLR),FW",25(4),2109,3,2,3,-,1.7,79.4,0.3,-,6.62,0.3,0.6,0.2,-,0.6,0.4,0.1,-,0.7,1.1,-,1.7,1,0.4,18.8,0.3,0.1,49.0,0.07,3.38,-0.38,0.14
184,Djordje Petrovic,Chelsea,25,GK,22(1),1986,-,-,2,-,-,76.4,0.3,-,6.62,-,-,-,-,-,0.9,-,-,-,-,-,-,-,-,30.7,4,-,,,,,
185,Jack Harrison,Everton,28,"AM(CLR),FW",25(4),2220,3,3,1,-,1.2,72.7,0.4,-,6.62,0.7,1.3,0.4,-,1.1,0.7,0.2,-,1,1,-,2.3,1.4,0.5,18.4,0.5,0.1,34.0,0.12,4.2,-1.2,0.17
186,Anthony Elanga,Nottingham Forest,22,"AM(LR),FW",25(11),2434,5,9,1,-,1.5,75.3,0.5,1,6.62,0.3,0.9,0.2,-,0.5,0.4,0.1,-,0.7,0.9,0.5,1.9,0.6,0.2,17.9,0.2,0.1,54.0,0.13,6.87,-1.87,0.25
187,Harvey Barnes,Newcastle,27,AM(CL),7(14),795,5,3,2,-,1.3,79.1,0.2,-,6.61,0.2,0.3,0.2,-,-,0.1,-,-,1,0.6,0.1,0.6,0.8,0.1,12.1,0.1,-,27.0,0.12,3.34,1.66,0.38
188,Gabriel Osho,Luton,26,"D(CR),DMC",21,1848,2,-,3,-,0.5,82.5,1.8,-,6.61,1.1,2,1.5,-,0.5,4.2,1,0.3,0.7,0.1,-,0.6,0.5,-,33.4,1.3,-,10.0,0.11,1.1,0.9,0.05
189,Kristoffer Ajer,Brentford,26,"D(CLR),DMC",21(7),1836,2,1,5,-,0.4,75.9,2.3,-,6.61,0.9,1.4,0.9,-,0.5,2.8,0.4,0.3,0.4,0.4,-,0.6,0.2,0.2,25.8,1.1,-,12.0,0.12,1.44,0.56,0.07
190,Josh Brownhill,Burnley,29,M(CR),23(10),2253,4,2,4,1,0.8,80.3,1.1,1,6.61,1.2,1.8,1,-,0.3,1.2,0.2,-,0.7,1,0.1,0.5,0.4,0.4,31.2,1.3,-,28.0,0.07,2.07,1.93,0.08
191,Nicolás Domínguez,Nottingham Forest,26,M(CLR),19(7),1505,2,2,4,-,0.8,85.4,0.8,1,6.61,1,2.4,0.7,-,1,0.9,0.2,-,0.6,0.4,0.1,0.8,0.3,0.1,31.9,1,0.1,22.0,0.08,1.67,0.33,0.1
192,Ola Aina,Nottingham Forest,28,"D(CLR),M(LR)",20(2),1701,1,1,3,-,0.5,79.9,0.8,1,6.61,0.8,2.1,0.8,-,0.5,1.9,0.1,0.1,1.1,0.5,0.1,1.1,0.5,0.3,28.8,0.9,-,11.0,0.03,0.28,0.72,0.01
193,Pau Torres,Aston Villa,27,D(C),27(2),2464,2,-,1,-,0.4,87.8,0.8,1,6.61,0.6,1,0.5,-,0.6,2.6,0.4,0.7,0.3,0.3,0.1,0.3,0.4,0.1,61.0,2.9,-,12.0,0.12,1.48,0.52,0.05
194,Dango Ouattara,Bournemouth,22,"D(L),M(LR)",12(18),1222,1,2,3,-,1,67.6,1.2,2,6.61,0.5,1.5,0.7,-,0.5,1.1,0.1,0.1,0.6,0.6,0.1,0.8,0.4,0.3,14.9,0.6,-,30.0,0.09,2.64,-1.64,0.19
195,Joe Gomez,Liverpool,27,D(CLR),17(15),1779,-,1,5,-,0.6,86.2,1,-,6.6,0.9,1.5,0.6,-,1,1.4,0.1,0.1,0.5,0.7,-,0.8,0.3,0.2,35.9,1.5,-,19.0,0.04,0.82,-0.82,0.04
