Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Fouls,Tackles,Inter,OwnG,Drb,Clear,Blocks,Offsides,Fouled,KeyP,Off,UnsTch,Disp,Crosses,AvgP,LongB,ThrB,Shots,xG/Shots,xG,xGDiff,xG/90
22,Alexander Isak,Newcastle,25,"AM(L),FW",27(3),2267,21,2,1,-,2.6,80.0,0.3,3,7.14,0.5,0.2,0.2,-,0.2,0.4,-,-,0.5,0.9,0.6,1.6,0.8,-,15.8,0.3,-,78.0,0.28,22.06,-1.06,0.88
23,Pascal Groß,Brighton,33,"D(LR),M(CR),FW",34(2),3114,4,10,7,-,1.5,90.2,0.4,6,7.13,0.6,1.9,0.6,-,1.1,0.8,0.2,0.1,0.8,2.9,0.1,1,0.8,2.5,81.3,2.7,-,55.0,0.12,6.41,-2.41,0.19
24,Conor Gallagher,Chelsea,24,M(CL),37,3137,5,7,7,1,1.3,91.5,0.7,1,7.13,2.2,2.3,1.2,-,1.2,0.8,0.3,-,1.7,1.4,-,1.9,1.1,0.5,52.2,1.5,0.1,48.0,0.1,4.89,0.11,0.14
25,Matheus Cunha,Wolves,25,"AM(CL),FW",29(3),2454,12,7,9,-,2.3,81.6,0.5,5,7.13,1,0.9,0.4,-,0.7,0.6,0.2,-,1.6,0.9,0.1,2.5,1.7,0.1,24.6,0.6,0.2,73.0,0.14,10.52,1.48,0.39
26,Andy Robertson,Liverpool,30,"D(L),M(L)",18(5),1693,3,2,2,-,0.5,87.7,0.6,-,7.12,0.4,1.5,0.6,-,0.7,1.5,0.3,0.2,0.2,2.7,0.1,0.8,0.3,2.4,54.1,2,-,12.0,0.16,1.96,1.04,0.1
27,Trent Alexander-Arnold,Liverpool,26,"D(R),DMC,M(R)",25(3),2161,3,4,6,-,1.7,79.6,0.3,3,7.12,0.3,1.4,1.1,-,2.1,1.5,0.1,0.2,0.3,2.3,0.1,1,0.2,2,60.2,5.3,0.3,47.0,0.06,2.64,0.36,0.11
28,Julián Alvarez,Man City,24,"AM(CLR),FW",31(5),2660,11,9,2,-,2.7,87.9,0.1,1,7.1,0.6,0.7,0.1,-,0.7,0.4,-,-,0.4,1.9,0.1,1.6,1,0.8,30.8,0.7,0.1,98.0,0.14,13.71,-2.71,0.46
29,Jarrod Bowen,West Ham,28,"AM(CLR),FW",34,3021,16,6,2,-,2.5,75.1,1,2,7.1,0.8,1.2,0.6,-,0.6,0.4,0.1,-,1.2,0.9,0.6,2.3,1.7,0.4,18.3,0.4,0.1,84.0,0.16,13.04,2.96,0.39
30,Diogo Jota,Liverpool,28,"AM(CLR),FW",14(7),1151,10,3,1,1,2,74.5,0.9,1,7.09,1.3,1.1,0.3,-,0.6,0.2,-,-,1,1,0.1,2,0.9,-,18.3,0.4,0.1,41.0,0.16,6.52,3.48,0.51
31,Alexis Mac Allister,Liverpool,26,"M(CL),FW",31(2),2612,5,5,7,1,1.3,87.8,0.9,2,7.09,1.6,3,1.1,-,2,0.8,0.2,-,1.4,1.4,-,0.9,1.1,0.3,58.4,1.8,0.2,44.0,0.09,3.89,1.11,0.13
32,Luis Díaz,Liverpool,27,"AM(LR),FW",32(5),2646,8,5,3,-,2.5,85.3,0.7,3,7.09,1.5,0.9,0.1,-,0.6,0.2,-,-,1.1,1.7,0.5,1.9,1.9,0.2,27.5,1.2,-,94.0,0.14,13.04,-5.04,0.44
33,James Tarkowski,Everton,32,D(C),38,3420,1,1,11,-,0.7,77.8,3.8,5,7.08,1.2,1.6,1.5,-,0.6,4.9,1.5,0.4,0.7,0.6,-,0.4,0.4,0.1,40.1,4.2,-,25.0,0.14,3.38,-2.38,0.09
34,Nicolas Jackson,Chelsea,23,FW,31(4),2810,14,5,10,-,2.3,78.0,1,3,7.07,0.8,0.6,0.1,-,0.5,0.5,0.1,-,1.1,1.1,0.8,2.5,1.9,-,18.8,0.3,0.1,80.0,0.23,18.66,-4.66,0.6
35,Kieran Trippier,Newcastle,34,"D(LR),M(R)",26(2),2240,1,10,5,-,0.3,79.7,1.1,3,7.07,1,2,0.9,-,1.4,1.7,0.3,0.3,0.8,2.3,0.1,0.7,0.3,2.5,61.2,2.8,-,8.0,0.1,0.77,0.23,0.03
36,Ross Barkley,Luton,31,M(CLR),30(2),2622,5,4,6,-,2.1,84.5,1.4,1,7.05,0.8,1.5,0.8,-,1.2,1.5,0.3,-,1.3,1.4,-,0.8,1.8,0.4,44.0,2.8,0.1,66.0,0.07,4.74,0.26,0.16
37,Lucas Paquetá,West Ham,27,"M(CLR),FW",31,2638,4,6,10,-,1.4,75.2,2,-,7.04,1.5,2.3,0.7,-,0.9,0.8,-,-,2.1,1.4,0.2,2.3,2.6,0.3,45.5,2.3,0.5,42.0,0.12,4.96,-0.96,0.17
38,Pedro Porro,Tottenham,25,"D(R),M(R)",35,3093,3,7,3,-,1.5,79.6,0.5,3,7.04,1.1,2.6,1,-,1.7,2.3,0.5,0.5,0.8,1.5,-,1.1,0.4,1.1,53.3,2.2,0.2,53.0,0.06,3.02,-0.02,0.09
