Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
17,Mohammed Kudus,West Ham,24,"M(CLR),FW",27(6),2488,8,6,2,0.8,3.8,2.3,0.5,2.8,2.4,7.23
18,James Maddison,Tottenham,28,AM(CLR),26(2),2155,4,9,2.1,2.4,1.1,2.6,0.1,1.2,1.3,7.17
19,Kai Havertz,Arsenal,25,"M(CR),FW",30(7),2641,13,7,1.9,1.2,0.4,1.2,0.4,0.9,1.5,7.16
20,Bernardo Silva,Man City,30,"M(CLR),FW",29(4),2582,6,9,1,1.9,1.2,0.8,0.1,1,1.3,7.15
21,Virgil van Dijk,Liverpool,33,D(C),36,3178,2,2,1.3,0.3,0.1,0.4,-,0.1,0.2,7.15
22,Alexander Isak,Newcastle,25,"AM(L),FW",27(3),2267,21,2,2.6,0.9,1.4,0.5,0.6,0.8,1.6,7.14
23,Pascal Groß,Brighton,33,"D(LR),M(CR),FW",34(2),3114,4,10,1.5,2.9,0.4,0.8,0.1,0.8,1,7.13
24,Conor Gallagher,Chelsea,24,M(CL),37,3137,5,7,1.3,1.4,1,1.7,-,1.1,1.9,7.13
25,Matheus Cunha,Wolves,25,"AM(CL),FW",29(3),2454,12,7,2.3,0.9,2,1.6,0.1,1.7,2.5,7.13
26,Andy Robertson,Liverpool,30,"D(L),M(L)",18(5),1693,3,2,0.5,2.7,0.2,0.2,0.1,0.3,0.8,7.12
27,Trent Alexander-Arnold,Liverpool,26,"D(R),DMC,M(R)",25(3),2161,3,4,1.7,2.3,1,0.3,0.1,0.2,1,7.12
28,Julián Alvarez,Man City,24,"AM(CLR),FW",31(5),2660,11,9,2.7,1.9,0.6,0.4,0.1,1,1.6,7.10
29,Jarrod Bowen,West Ham,28,"AM(CLR),FW",34,3021,16,6,2.5,0.9,1,1.2,0.6,1.7,2.3,7.10
30,Diogo Jota,Liverpool,28,"AM(CLR),FW",14(7),1151,10,3,2,1,0.7,1,0.1,0.9,2,7.09
31,Alexis Mac Allister,Liverpool,26,"M(CL),FW",31(2),2612,5,5,1.3,1.4,0.5,1.4,-,1.1,0.9,7.09
32,Luis Díaz,Liverpool,27,"AM(LR),FW",32(5),2646,8,5,2.5,1.7,1.8,1.1,0.5,1.9,1.9,7.09
33,James Tarkowski,Everton,32,D(C),38,3420,1,1,0.7,0.6,0.4,0.7,-,0.4,0.4,7.08
