Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
235,Harry Toffolo,Nottingham Forest,29,"D(L),M(L)",15(8),1456,1,3,3,-,0.3,76.2,1.1,-,6.50
236,Tino Livramento,Newcastle,22,D(LR),12(14),1306,1,-,1,-,0.2,86.8,0.5,-,6.50
237,Amari'i Bell,Luton,30,"D(CL),M(L)",21,1722,-,-,-,-,0.1,79.6,1,-,6.50
238,Ryan Yates,Nottingham Forest,27,M(C),21(14),1986,1,1,6,-,0.9,80.3,1.2,1,6.50
239,Victor Lindelöf,Man Utd,30,D(CLR),14(5),1333,1,1,2,-,0.3,89.5,0.9,1,6.50
240,Ryan Gravenberch,Liverpool,22,DMC,12(14),1122,1,-,-,-,0.9,83.4,0.4,-,6.49
241,Jóhann Gudmundsson,Burnley,34,M(CLR),12(14),1194,1,3,2,-,0.6,78.3,0.5,-,6.49
242,Giovani Lo Celso,Tottenham,28,"M(CR),FW",4(18),498,2,2,2,-,0.6,91.5,-,1,6.49
243,Evan Ferguson,Brighton,20,FW,15(12),1366,6,-,1,-,1.2,81.3,0.5,1,6.49
244,Neal Maupay,Brentford,28,"AM(C),FW",13(16),1317,6,3,8,-,1.3,72.8,0.5,2,6.48
245,Jeffrey Schlupp,Crystal Palace,32,"D(L),M(CLR)",17(12),1357,2,2,1,-,0.7,75.9,0.8,1,6.48
246,Facundo Buonanotte,Brighton,20,AM(CR),17(10),1370,3,1,7,-,0.8,85.3,0.2,-,6.47
247,Keane Lewis-Potter,Brentford,23,"D(L),M(CLR),FW",15(15),1442,3,1,-,-,1.4,77.4,0.5,-,6.47
248,Philip Billing,Bournemouth,28,"M(C),FW",13(16),1393,2,2,3,1,1,78.4,1.2,-,6.47
249,Curtis Jones,Liverpool,23,M(CL),14(9),1168,1,1,3,1,0.8,91.5,0.3,-,6.47
250,Jayden Bogle,Sheff Utd,24,"D(R),M(R)",32(2),2795,3,-,9,-,0.9,69.7,1.5,-,6.47
251,Charlie Taylor,Burnley,31,"D(CL),M(L)",25(3),2332,1,1,8,-,0.4,78.9,1.5,-,6.47
252,Alex Scott,Bournemouth,21,M(CR),11(12),1013,1,1,3,-,0.7,81,0.7,1,6.46
253,Calvin Bassey,Fulham,25,D(CL),25(4),2302,1,-,4,1,0.2,86.2,1,-,6.46
254,Álex Moreno,Aston Villa,31,"D(L),M(L)",11(10),1031,2,-,2,-,0.4,83.3,0.2,-,6.46
255,Orel Mangala,Nottingham Forest,26,M(C),19(1),1571,1,-,6,-,0.5,88.6,0.5,-,6.45
256,Wes Foderingham,Sheff Utd,33,GK,29(1),2648,-,-,2,-,-,52.6,0.2,1,6.45
257,Jacob Brown,Luton,26,"M(CLR),FW",12(7),1020,2,-,4,-,1.4,56.3,2.3,1,6.45
258,Jacob Bruun Larsen,Burnley,26,"AM(CLR),FW",16(16),1252,6,-,1,-,1.4,76.8,0.4,-,6.45
259,Joel Ward,Crystal Palace,35,"D(CLR),DMC,M(R)",23(3),1982,-,1,4,-,0.4,75.7,1.8,-,6.45
260,Sam Johnstone,Crystal Palace,31,GK,20,1797,-,-,1,-,-,52.9,0.1,2,6.44
261,Mads Roerslev,Brentford,25,"D(R),M(R)",22(12),1985,1,2,1,-,0.2,68.9,0.4,1,6.44
262,Frank Onyeka,Brentford,26,DMC,11(15),1157,1,2,8,-,0.8,77.6,0.4,-,6.43
263,Milos Kerkez,Bournemouth,21,"D(L),M(L)",22(6),1976,-,1,4,1,0.6,77.2,0.6,-,6.42
264,Cameron Archer,Sheff Utd,23,FW,21(8),1836,4,1,1,-,1.4,80.7,0.2,-,6.42
265,Nayef Aguerd,West Ham,28,D(C),21,1859,1,-,1,1,0.7,80.5,2.3,-,6.42
266,Bobby De Cordova-Reid,Fulham,31,"D(R),M(CLR),FW",17(16),1428,6,2,4,-,1,79,0.4,-,6.41
267,Mikkel Damsgaard,Brentford,24,AM(CL),7(16),834,-,2,2,-,0.4,73.6,0.5,-,6.41
268,Jorginho,Arsenal,33,DMC,10(14),920,-,2,1,-,0.2,90.2,0.3,-,6.41
269,Nathan Patterson,Everton,23,"D(R),M(R)",9(11),1000,-,2,4,-,0.2,73,0.4,-,6.41
270,Ashley Young,Everton,39,"D(LR),M(LR)",27(4),2291,-,-,5,1,0.4,72.4,0.6,-,6.40
271,Lloyd Kelly,Bournemouth,26,D(CL),17(6),1558,-,1,2,-,0.2,77.6,1.2,-,6.40
272,Billy Gilmour,Brighton,23,DMC,24(6),2126,-,1,8,1,0.8,92.2,0.4,-,6.39
273,Rodrigo Bentancur,Tottenham,27,M(C),13(10),1010,1,1,7,-,0.8,85.5,0.6,-,6.39
274,James McAtee,Sheff Utd,22,AM(CR),20(10),1826,3,3,2,-,0.9,72,0.4,-,6.38
275,Matt Doherty,Wolves,32,"D(LR),M(LR)",9(21),1144,1,-,2,-,0.3,79.3,1.3,-,6.38
276,Diego Carlos,Aston Villa,31,D(C),20(7),1812,-,-,4,-,0.4,88.4,0.8,-,6.36
277,Christian Eriksen,Man Utd,32,"M(CLR),FW",12(10),1141,1,2,1,-,0.6,84.1,0.1,-,6.36
278,Moussa Niakhaté,Nottingham Forest,28,D(CL),15(6),1459,1,-,3,1,0.2,85.5,0.8,-,6.36
279,Jordan Clark,Luton,31,M(CLR),14(9),1307,1,1,4,-,0.7,74.1,0.8,1,6.36
280,Jack Robinson,Sheff Utd,31,"D(CL),M(L)",31(3),2886,1,1,10,-,0.4,77.3,2.1,-,6.36
281,Sasa Lukic,Fulham,28,M(C),13(11),1120,1,-,3,-,0.5,87.5,0.5,-,6.36
282,Tahith Chong,Luton,25,"M(CLR),FW",20(13),1987,4,-,4,-,0.9,81.8,0.3,-,6.34
283,Auston Trusty,Sheff Utd,26,D(CL),28(4),2573,-,-,4,-,0.3,79,2,-,6.34
284,Harrison Reed,Fulham,29,"D(R),M(CR)",15(12),1325,-,2,6,-,0.3,85.3,0.4,-,6.34
285,Andros Townsend,Luton,33,"AM(CLR),FW",14(13),1210,1,3,1,-,0.7,80.2,-,-,6.34
286,Carlos Baleba,Brighton,20,DMC,15(12),1324,-,-,7,-,0.8,92.2,0.9,-,6.33
287,Jhon Durán,Aston Villa,21,FW,3(20),463,5,-,5,-,0.9,71.1,0.9,1,6.32
288,Pierre-Emile Højbjerg,Tottenham,29,M(C),8(28),1294,-,-,4,-,0.5,88.6,0.2,-,6.32
289,Jean-Ricner Bellegarde,Wolves,26,M(CLR),10(12),953,2,1,-,1,0.7,84.3,0.4,1,6.32
290,Beto,Everton,26,FW,9(21),939,3,-,2,-,1.4,61.5,1.6,1,6.32
291,Tariq Lamptey,Brighton,24,"D(LR),M(R)",10(9),916,-,3,3,-,0.3,87.9,0.2,-,6.32
292,Oliver Norwood,Sheff Utd,33,M(C),16(11),1433,1,-,8,-,0.6,72.2,0.5,-,6.31
293,Vitinho,Burnley,25,"D(LR),M(LR)",26(6),2320,-,2,1,-,0.8,77.1,0.6,-,6.31
294,Tommy Doyle,Wolves,23,M(C),11(15),1216,-,-,2,-,0.5,86.4,-,-,6.30
295,Jay Rodriguez,Burnley,35,"AM(CLR),FW",7(14),815,2,1,-,-,1,66,1,-,6.29
296,Anel Ahmedhodzic,Sheff Utd,25,D(C),29(2),2650,2,-,9,1,0.6,75.6,1.6,1,6.28
297,Yehor Yarmoliuk,Brentford,20,M(C),6(21),676,-,-,2,-,0.4,77.3,0.3,-,6.27
298,Cauley Woodrow,Luton,30,"AM(C),FW",2(22),411,1,1,2,-,0.7,74.8,0.5,-,6.26
299,Ansu Fati,Brighton,22,"AM(L),FW",3(16),514,2,-,2,-,1.4,87.3,0.1,-,6.26
300,Max Aarons,Bournemouth,24,D(R),13(7),1233,-,1,1,-,0.1,76.7,0.3,-,6.25
301,Sofyan Amrabat,Man Utd,28,"D(L),DMC",10(11),933,-,-,6,-,0.1,88.1,0.2,-,6.24
302,Saman Ghoddos,Brentford,31,"M(CLR),FW",7(12),730,1,-,5,-,0.5,76.4,0.2,-,6.24
303,Hugo Bueno,Wolves,22,"D(L),M(L)",7(15),731,-,-,1,-,0.2,80.6,0.4,-,6.24
304,Nicolò Zaniolo,Aston Villa,25,"AM(CLR),FW",9(16),831,2,-,7,-,1.1,71.6,0.3,-,6.24
305,Divock Origi,Nottingham Forest,29,"AM(LR),FW",6(14),601,-,1,1,-,0.7,67.9,0.6,-,6.21
306,Oliver Skipp,Tottenham,24,DMC,5(16),695,-,-,3,-,0.2,91.7,0.2,-,6.20
307,Boubacar Traoré,Wolves,23,DMC,7(17),806,-,-,4,-,0.5,84.9,0.3,-,6.20
308,Danny Ings,West Ham,32,"AM(C),FW",3(17),392,1,-,1,-,0.6,72.4,0.2,-,6.19
309,Andre Brooks,Sheff Utd,21,AM(CR),12(8),944,-,-,1,-,0.5,77,0.6,-,6.18
310,Adam Lallana,Brighton,36,M(CLR),13(12),854,-,1,2,-,0.4,90,0.1,-,6.17
311,Ben Osborn,Sheff Utd,30,"D(L),M(CLR)",14(10),1363,-,2,3,-,0.2,77.7,0.3,-,6.17
312,Naouirou Ahamada,Crystal Palace,22,M(C),0(20),334,-,-,2,1,0.5,82.7,0.2,-,6.08
313,Pelly Ruddock Mpanzu,Luton,30,M(C),11(16),1094,-,-,1,-,0.4,74.9,0.4,-,6.08
314,William Osula,Sheff Utd,21,FW,9(12),785,-,-,4,-,1,53.3,1.1,-,6.00
