Rank,Player,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
228,Kurt Zouma,West Ham,30,D(CR),32(1),2841,-,0.1,34.6,83.9,-,2.1,-,6.52
229,Igor Julio,Brighton,26,"D(CL),M(L)",17(7),1638,-,0.3,59,93.6,-,1,-,6.52
230,Adam Smith,Bournemouth,33,"D(LR),M(LR)",25(3),2158,2,0.6,27.4,77.1,0.6,0.8,0.1,6.51
231,Emerson Royal,Tottenham,25,"D(CLR),M(R)",11(11),1155,-,0.1,43.1,91.2,0.1,0.9,-,6.51
232,Joël Veltman,Brighton,32,"D(CR),M(R)",17(10),1583,1,0.1,30,84.9,-,1.1,-,6.51
233,Zeki Amdouni,Burnley,24,"AM(C),FW",27(7),1972,1,0.5,14.4,80.9,-,0.5,0.1,6.51
234,Thomas Kaminski,Luton,32,GK,38,3406,-,-,34.5,55,-,8.2,-,6.51
235,Harry Toffolo,Nottingham Forest,29,"D(L),M(L)",15(8),1456,3,0.8,19.4,76.2,0.7,0.7,-,6.50
236,Tino Livramento,Newcastle,22,D(LR),12(14),1306,-,0.5,26,86.8,0.2,0.5,-,6.50
237,Amari'i Bell,Luton,30,"D(CL),M(L)",21,1722,-,0.4,37.6,79.6,-,1.4,-,6.50
238,Ryan Yates,Nottingham Forest,27,M(C),21(14),1986,1,0.2,23.3,80.3,-,0.8,-,6.50
239,Victor Lindelöf,Man Utd,30,D(CLR),14(5),1333,1,0.4,46.1,89.5,-,1.4,0.1,6.50
240,Ryan Gravenberch,Liverpool,22,DMC,12(14),1122,-,0.6,19,83.4,-,0.2,0.1,6.49
241,Jóhann Gudmundsson,Burnley,34,M(CLR),12(14),1194,3,1.3,17.9,78.3,1,1.1,0.1,6.49
242,Giovani Lo Celso,Tottenham,28,"M(CR),FW",4(18),498,2,0.8,22,91.5,0.2,0.8,0.1,6.49
243,Evan Ferguson,Brighton,20,FW,15(12),1366,-,0.2,11.1,81.3,-,0.1,-,6.49
244,Neal Maupay,Brentford,28,"AM(C),FW",13(16),1317,3,0.5,12.8,72.8,0.1,0.5,0.1,6.48
245,Jeffrey Schlupp,Crystal Palace,32,"D(L),M(CLR)",17(12),1357,2,0.7,11.1,75.9,0.1,0.2,-,6.48
246,Facundo Buonanotte,Brighton,20,AM(CR),17(10),1370,1,0.7,17.4,85.3,-,0.2,-,6.47
247,Keane Lewis-Potter,Brentford,23,"D(L),M(CLR),FW",15(15),1442,1,0.4,11.9,77.4,0.2,0.3,-,6.47
248,Philip Billing,Bournemouth,28,"M(C),FW",13(16),1393,2,0.8,17.3,78.4,0.2,0.6,-,6.47
249,Curtis Jones,Liverpool,23,M(CL),14(9),1168,1,0.5,32.6,91.5,-,0.5,-,6.47
250,Jayden Bogle,Sheff Utd,24,"D(R),M(R)",32(2),2795,-,0.3,22.7,69.7,0.3,1,-,6.47
251,Charlie Taylor,Burnley,31,"D(CL),M(L)",25(3),2332,1,0.5,37.2,78.9,0.5,1.8,-,6.47
252,Alex Scott,Bournemouth,21,M(CR),11(12),1013,1,1,18.8,81,0.3,0.7,-,6.46
253,Calvin Bassey,Fulham,25,D(CL),25(4),2302,-,-,57.5,86.2,-,2.9,-,6.46
254,Álex Moreno,Aston Villa,31,"D(L),M(L)",11(10),1031,-,0.5,19.4,83.3,0.2,0.6,-,6.46
255,Orel Mangala,Nottingham Forest,26,M(C),19(1),1571,-,0.3,32.1,88.6,0.1,1.2,-,6.45
256,Wes Foderingham,Sheff Utd,33,GK,29(1),2648,-,-,31.4,52.6,-,7.6,-,6.45
257,Jacob Brown,Luton,26,"M(CLR),FW",12(7),1020,-,0.4,12.1,56.3,0.2,0.2,-,6.45
258,Jacob Bruun Larsen,Burnley,26,"AM(CLR),FW",16(16),1252,-,0.8,14.3,76.8,0.7,0.4,-,6.45
259,Joel Ward,Crystal Palace,35,"D(CLR),DMC,M(R)",23(3),1982,1,0.1,30.9,75.7,0.1,1.5,-,6.45
260,Sam Johnstone,Crystal Palace,31,GK,20,1797,-,-,26.6,52.9,-,6.9,-,6.44
261,Mads Roerslev,Brentford,25,"D(R),M(R)",22(12),1985,2,0.4,17.8,68.9,0.7,0.6,-,6.44
262,Frank Onyeka,Brentford,26,DMC,11(15),1157,2,0.5,14.4,77.6,0.2,0.5,-,6.43
263,Milos Kerkez,Bournemouth,21,"D(L),M(L)",22(6),1976,1,0.4,22.4,77.2,0.4,0.8,-,6.42
264,Cameron Archer,Sheff Utd,23,FW,21(8),1836,1,0.8,11.3,80.7,0.1,0.1,-,6.42
265,Nayef Aguerd,West Ham,28,D(C),21,1859,-,0.2,55.4,80.5,-,5,-,6.42
266,Bobby De Cordova-Reid,Fulham,31,"D(R),M(CLR),FW",17(16),1428,2,0.5,13.4,79,0.2,0.3,-,6.41
267,Mikkel Damsgaard,Brentford,24,AM(CL),7(16),834,2,0.4,17.1,73.6,0.1,1,-,6.41
268,Jorginho,Arsenal,33,DMC,10(14),920,2,0.4,32.2,90.2,-,1.6,0.2,6.41
269,Nathan Patterson,Everton,23,"D(R),M(R)",9(11),1000,2,0.4,20.4,73,0.4,1.4,0.1,6.41
270,Ashley Young,Everton,39,"D(LR),M(LR)",27(4),2291,-,0.7,25,72.4,0.8,1.5,-,6.40
271,Lloyd Kelly,Bournemouth,26,D(CL),17(6),1558,1,0.4,33.6,77.6,0.2,2.4,-,6.40
272,Billy Gilmour,Brighton,23,DMC,24(6),2126,1,0.7,68.8,92.2,0.4,2.1,0.1,6.39
273,Rodrigo Bentancur,Tottenham,27,M(C),13(10),1010,1,0.3,34.2,85.5,-,0.9,0.1,6.39
274,James McAtee,Sheff Utd,22,AM(CR),20(10),1826,3,0.9,16.3,72,0.3,0.2,0.1,6.38
275,Matt Doherty,Wolves,32,"D(LR),M(LR)",9(21),1144,-,0.4,18.8,79.3,-,1,-,6.38
276,Diego Carlos,Aston Villa,31,D(C),20(7),1812,-,0.1,49.6,88.4,-,2.4,-,6.36
277,Christian Eriksen,Man Utd,32,"M(CLR),FW",12(10),1141,2,1.2,34.3,84.1,0.5,1.5,0.1,6.36
278,Moussa Niakhaté,Nottingham Forest,28,D(CL),15(6),1459,-,0.1,32.8,85.5,-,1.5,-,6.36
279,Jordan Clark,Luton,31,M(CLR),14(9),1307,1,0.5,21,74.1,0.3,1.1,-,6.36
280,Jack Robinson,Sheff Utd,31,"D(CL),M(L)",31(3),2886,1,0.4,31.3,77.3,0.1,2.1,-,6.36
281,Sasa Lukic,Fulham,28,M(C),13(11),1120,-,0.5,20.4,87.5,-,0.5,0.1,6.36
282,Tahith Chong,Luton,25,"M(CLR),FW",20(13),1987,-,0.3,15.2,81.8,0.2,0.5,0.1,6.34
283,Auston Trusty,Sheff Utd,26,D(CL),28(4),2573,-,0.3,26.4,79,0.1,1.2,-,6.34
284,Harrison Reed,Fulham,29,"D(R),M(CR)",15(12),1325,2,0.5,26.7,85.3,0.1,0.8,-,6.34
285,Andros Townsend,Luton,33,"AM(CLR),FW",14(13),1210,3,0.7,12.9,80.2,0.6,0.6,-,6.34
286,Carlos Baleba,Brighton,20,DMC,15(12),1324,-,0.3,28.6,92.2,-,0.7,-,6.33
287,Jhon Durán,Aston Villa,21,FW,3(20),463,-,0.2,5,71.1,-,-,-,6.32
288,Pierre-Emile Højbjerg,Tottenham,29,M(C),8(28),1294,-,0.3,38.4,88.6,-,2.1,-,6.32
289,Jean-Ricner Bellegarde,Wolves,26,M(CLR),10(12),953,1,0.5,12.8,84.3,0.1,0.2,-,6.32
290,Beto,Everton,26,FW,9(21),939,-,0.4,5.8,61.5,-,0.2,-,6.32
291,Tariq Lamptey,Brighton,24,"D(LR),M(R)",10(9),916,3,0.5,19.5,87.9,0.5,0.4,-,6.32
292,Oliver Norwood,Sheff Utd,33,M(C),16(11),1433,-,0.6,31.7,72.2,0.6,2.5,-,6.31
293,Vitinho,Burnley,25,"D(LR),M(LR)",26(6),2320,2,0.3,23.6,77.1,0.2,0.8,-,6.31
294,Tommy Doyle,Wolves,23,M(C),11(15),1216,-,0.3,35,86.4,0.2,2.9,-,6.30
295,Jay Rodriguez,Burnley,35,"AM(CLR),FW",7(14),815,1,0.2,10.2,66,-,0.3,-,6.29
296,Anel Ahmedhodzic,Sheff Utd,25,D(C),29(2),2650,-,0.2,30.8,75.6,-,1.5,-,6.28
297,Yehor Yarmoliuk,Brentford,20,M(C),6(21),676,-,0.1,10.4,77.3,-,0.3,-,6.27
298,Cauley Woodrow,Luton,30,"AM(C),FW",2(22),411,1,0.4,5.8,74.8,0.2,-,-,6.26
299,Ansu Fati,Brighton,22,"AM(L),FW",3(16),514,-,0.3,10.7,87.3,-,0.3,0.1,6.26
300,Max Aarons,Bournemouth,24,D(R),13(7),1233,1,0.4,22.6,76.7,0.2,1,0.1,6.25
301,Sofyan Amrabat,Man Utd,28,"D(L),DMC",10(11),933,-,0.3,30.7,88.1,-,1.7,-,6.24
302,Saman Ghoddos,Brentford,31,"M(CLR),FW",7(12),730,-,0.5,19.4,76.4,0.6,0.7,-,6.24
303,Hugo Bueno,Wolves,22,"D(L),M(L)",7(15),731,-,0.3,15,80.6,0.5,0.2,-,6.24
304,Nicolò Zaniolo,Aston Villa,25,"AM(CLR),FW",9(16),831,-,0.4,8.3,71.6,-,0.1,-,6.24
305,Divock Origi,Nottingham Forest,29,"AM(LR),FW",6(14),601,1,0.4,6.6,67.9,0.2,0.3,0.2,6.21
306,Oliver Skipp,Tottenham,24,DMC,5(16),695,-,0.3,17.8,91.7,-,0.7,-,6.20
307,Boubacar Traoré,Wolves,23,DMC,7(17),806,-,0.3,18.5,84.9,0.1,0.6,-,6.20
308,Danny Ings,West Ham,32,"AM(C),FW",3(17),392,-,0.3,5.3,72.4,-,0.1,-,6.19
309,Andre Brooks,Sheff Utd,21,AM(CR),12(8),944,-,0.2,12.4,77,-,0.2,-,6.18
310,Adam Lallana,Brighton,36,M(CLR),13(12),854,1,0.6,20,90,0.1,0.1,0.1,6.17
311,Ben Osborn,Sheff Utd,30,"D(L),M(CLR)",14(10),1363,2,0.5,21.1,77.7,0.4,1,-,6.17
312,Naouirou Ahamada,Crystal Palace,22,M(C),0(20),334,-,0.1,9,82.7,-,0.4,-,6.08
313,Pelly Ruddock Mpanzu,Luton,30,M(C),11(16),1094,-,0.2,12.7,74.9,0.1,0.6,-,6.08
314,William Osula,Sheff Utd,21,FW,9(12),785,-,-,4.3,53.3,-,-,-,6.00
