Rank,Player,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
52,Leon Bailey,Aston Villa,27,"M(CLR),FW",22(13),2080,9,1.5,20,78.2,0.5,0.8,0.1,6.96
53,Dejan Kulusevski,Tottenham,24,"AM(CR),FW",31(5),2767,3,1.8,31.4,81.9,0.6,0.4,0.1,6.96
54,Alphonse Areola,West Ham,31,GK,31,2702,-,-,23.2,59.3,-,5.9,-,6.96
55,Diogo Dalot,Man Utd,25,"D(LR),M(LR)",35(1),3174,3,1.1,41.4,83.8,0.7,2.1,-,6.96
56,Douglas Luiz,Aston Villa,26,M(C),35,3003,5,1.5,56.4,89.4,0.9,2.8,0.2,6.95
57,Willy-Arnaud Boly,Nottingham Forest,33,D(C),18(2),1443,1,0.5,30.6,77.1,-,1.6,0.1,6.94
58,Dan Burn,Newcastle,32,"D(CL),M(L)",32(1),2733,2,0.3,45.5,81.1,0.1,0.8,-,6.94
59,João Pedro,Brighton,23,"AM(CL),FW",19(12),2046,3,1.2,25,82.7,0.3,0.5,0.1,6.93
60,Ben White,Arsenal,27,"D(CR),DMC",35(2),2995,4,1.1,51.6,86.7,0.4,1.4,-,6.93
61,Antonee Robinson,Fulham,27,"D(L),M(L)",37,3269,6,0.9,44,75.9,0.8,2.7,-,6.92
62,Jarrad Branthwaite,Everton,22,D(C),35,3117,-,0.1,39.2,80.1,-,2.1,-,6.90
63,Gabriel Jesus,Arsenal,27,"AM(LR),FW",17(10),1482,5,1.1,18.1,81,-,0.3,0.2,6.89
64,Gabriel Martinelli,Arsenal,23,"AM(LR),FW",24(11),2031,4,1.3,23.1,85,0.8,0.7,0.1,6.89
65,Ryan Christie,Bournemouth,29,"M(CLR),FW",35(2),2922,5,1.5,33,79.3,0.5,2.4,0.2,6.89
66,Darwin Núñez,Liverpool,25,"AM(CL),FW",22(14),2050,8,0.9,12.9,71.6,0.1,0.3,-,6.89
67,Tomás Soucek,West Ham,29,M(C),34(3),2876,2,0.5,25.6,75.7,0.1,0.8,-,6.88
68,Kaoru Mitoma,Brighton,27,M(L),15(4),1488,4,1.3,31.4,83.4,0.3,0.3,-,6.88
69,Ethan Pinnock,Brentford,31,D(C),28(1),2521,-,0.1,48.2,84,-,2.4,-,6.88
70,Jean-Philippe Mateta,Crystal Palace,27,FW,25(10),2285,5,0.9,11.8,73.8,0.1,0.2,-,6.88
71,Antoine Semenyo,Bournemouth,24,"AM(LR),FW",25(8),2113,2,0.9,17.8,74.3,0.2,0.5,0.1,6.88
72,Joachim Andersen,Crystal Palace,28,D(C),38,3418,3,0.5,56.7,79.5,0.3,5.3,0.1,6.88
73,Yoane Wissa,Brentford,28,"AM(L),FW",29(5),2509,3,0.9,12.9,73.2,0.1,0.4,0.1,6.87
74,Cody Gakpo,Liverpool,25,"AM(CLR),FW",17(18),1646,5,0.7,15.3,79.3,0.2,0.3,-,6.87
75,Harry Maguire,Man Utd,31,D(C),18(4),1651,2,0.3,49.8,83.4,-,3.3,-,6.87
76,Marcus Tavernier,Bournemouth,25,M(CLR),25(5),2134,4,1.5,25.3,79.3,0.8,0.9,0.1,6.86
77,Simon Adingra,Brighton,22,"M(LR),FW",25(6),2233,1,1.1,24.1,81.1,0.5,0.5,0.2,6.86
78,Mario Lemina,Wolves,31,"D(C),M(C)",34(1),2976,1,0.6,41.1,86.7,0.1,1.7,0.1,6.85
79,Moisés Caicedo,Chelsea,23,"D(R),DMC",33(2),2875,3,0.7,59.9,90.8,-,2.5,0.1,6.85
80,William Saliba,Arsenal,23,D(C),38,3420,1,0.2,74.7,92.6,-,1.8,0.1,6.85
81,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",28,2472,-,0.5,31.5,74.9,0.5,1.9,-,6.85
82,Jordan Ayew,Crystal Palace,33,"AM(CLR),FW",30(5),2551,7,0.7,23.2,80.6,0.5,0.3,-,6.85
83,Kyle Walker,Man City,34,"D(CR),M(R)",30(2),2767,4,0.8,66.8,90.4,0.6,2.4,0.1,6.85
