Rank,Player,Team,Age,Position,Apps,Mins,xG,Goals,xGDiff,xG/90,Shots,xG/Shots,Rating
270,Jean-Ricner Bellegarde,Wolves,26,M(CLR),10(12),953,1.56,2,0.44,0.15,15,0.1,6.32
271,Beto,Everton,26,FW,9(21),939,6.83,3,-3.83,0.65,43,0.16,6.32
272,Tariq Lamptey,Brighton,24,"D(LR),M(R)",10(9),916,0.55,-,-0.55,0.05,6,0.09,6.32
273,Oliver Norwood,Sheff Utd,33,M(C),16(11),1433,1.06,1,-0.06,0.07,15,0.07,6.31
274,Vitinho,Burnley,25,"D(LR),M(LR)",26(6),2320,1.63,-,-1.63,0.06,25,0.07,6.31
275,Tommy Doyle,Wolves,23,M(C),11(15),1216,0.49,-,-0.49,0.04,14,0.04,6.30
276,Jay Rodriguez,Burnley,35,"AM(CLR),FW",7(14),815,4.23,2,-2.23,0.47,22,0.19,6.29
277,Anel Ahmedhodzic,Sheff Utd,25,D(C),29(2),2650,3.36,2,-1.36,0.11,19,0.18,6.28
278,Yehor Yarmoliuk,Brentford,20,M(C),6(21),676,0.96,-,-0.96,0.13,11,0.09,6.27
279,Cauley Woodrow,Luton,30,"AM(C),FW",2(22),411,1.16,1,-0.16,0.25,16,0.07,6.26
280,Ansu Fati,Brighton,22,"AM(L),FW",3(16),514,3.84,2,-1.84,0.67,26,0.15,6.26
281,Max Aarons,Bournemouth,24,D(R),13(7),1233,0.04,-,-0.04,-,2,0.02,6.25
282,Sofyan Amrabat,Man Utd,28,"D(L),DMC",10(11),933,0.08,-,-0.08,0.01,3,0.03,6.24
283,Saman Ghoddos,Brentford,31,"M(CLR),FW",7(12),730,0.27,1,0.73,0.03,9,0.03,6.24
284,Hugo Bueno,Wolves,22,"D(L),M(L)",7(15),731,0.35,-,-0.35,0.04,5,0.07,6.24
285,Nicolò Zaniolo,Aston Villa,25,"AM(CLR),FW",9(16),831,3.7,2,-1.7,0.4,27,0.14,6.24
286,Divock Origi,Nottingham Forest,29,"AM(LR),FW",6(14),601,1.8,-,-1.8,0.27,14,0.13,6.21
287,Oliver Skipp,Tottenham,24,DMC,5(16),695,0.7,-,-0.7,0.09,4,0.17,6.20
288,Boubacar Traoré,Wolves,23,DMC,7(17),806,0.33,-,-0.33,0.04,11,0.03,6.20
289,Danny Ings,West Ham,32,"AM(C),FW",3(17),392,1.22,1,-0.22,0.28,12,0.1,6.19
290,Andre Brooks,Sheff Utd,21,AM(CR),12(8),944,0.79,-,-0.79,0.08,9,0.09,6.18
291,Adam Lallana,Brighton,36,M(CLR),13(12),854,0.83,-,-0.83,0.09,11,0.08,6.17
292,Ben Osborn,Sheff Utd,30,"D(L),M(CLR)",14(10),1363,0.19,-,-0.19,0.01,4,0.05,6.17
293,Naouirou Ahamada,Crystal Palace,22,M(C),0(20),334,0.59,-,-0.59,0.16,9,0.07,6.08
294,Pelly Ruddock Mpanzu,Luton,30,M(C),11(16),1094,0.88,-,-0.88,0.07,11,0.08,6.08
295,William Osula,Sheff Utd,21,FW,9(12),785,2.01,-,-2.01,0.23,21,0.1,6.00
